timestamp,voltage,current,temperature
2026-01-09 19:32:24,18.57,0.0,25.99
2026-01-09 19:47:24,19.01,0.24,27.76
2026-01-09 20:02:24,18.5,0.0,16.83
2026-01-09 20:17:24,18.29,0.0,29.62
2026-01-09 20:32:24,18.23,0.0,23.82
2026-01-09 20:47:24,18.57,0.0,26.77
2026-01-09 21:02:24,18.62,0.1,26.64
2026-01-09 21:17:24,18.4,0.11,29.11
2026-01-09 21:32:24,18.03,0.15,26.87
2026-01-09 21:47:24,18.58,0.0,27.77
2026-01-09 22:02:24,18.38,0.0,21.82
2026-01-09 22:17:24,18.77,0.0,27.81
2026-01-09 22:32:24,19.18,0.01,18.43
2026-01-09 22:47:24,18.47,0.07,21.75
2026-01-09 23:02:24,18.49,0.05,30.87
2026-01-09 23:17:24,18.56,0.0,24.93
2026-01-09 23:32:24,18.93,0.04,24.87
2026-01-09 23:47:24,18.71,0.0,24.39
2026-01-10 00:02:24,18.74,0.07,20.04
2026-01-10 00:17:24,18.47,0.02,28.6
2026-01-10 00:32:24,18.36,0.0,24.26
2026-01-10 00:47:24,18.13,0.03,20.82
2026-01-10 01:02:24,18.98,0.0,26.58
2026-01-10 01:17:24,18.16,0.0,29.38
2026-01-10 01:32:24,18.24,0.3,23.11
2026-01-10 01:47:24,18.23,0.15,23.68
2026-01-10 02:02:24,18.57,0.07,28.13
2026-01-10 02:17:24,18.27,0.0,26.14
2026-01-10 02:32:24,18.52,0.04,24.07
2026-01-10 02:47:24,18.58,0.0,29.41
2026-01-10 03:02:24,18.4,0.1,26.5
2026-01-10 03:17:24,18.53,0.08,23.95
2026-01-10 03:32:24,18.8,0.07,22.7
2026-01-10 03:47:24,18.87,0.0,18.7
2026-01-10 04:02:24,18.75,0.0,23.11
2026-01-10 04:17:24,18.69,0.0,21.38
2026-01-10 04:32:24,18.46,0.0,24.7
2026-01-10 04:47:24,18.38,0.0,26.26
2026-01-10 05:02:24,18.22,0.06,23.95
2026-01-10 05:17:24,19.0,0.1,21.78
2026-01-10 05:32:24,19.01,0.15,27.1
2026-01-10 05:47:24,18.07,0.04,26.64
2026-01-10 06:02:24,18.85,0.04,26.33
2026-01-10 06:17:24,18.13,0.03,29.75
2026-01-10 06:32:24,18.71,0.32,24.77
2026-01-10 06:47:24,18.79,0.43,28.32
2026-01-10 07:02:24,19.02,0.53,34.24
2026-01-10 07:17:24,18.3,0.81,31.37
2026-01-10 07:32:24,18.11,0.87,33.93
2026-01-10 07:47:24,18.39,0.92,26.58
2026-01-10 08:02:24,18.93,1.5,31.4
2026-01-10 08:17:24,18.29,1.4,39.09
2026-01-10 08:32:24,18.91,1.66,39.38
2026-01-10 08:47:24,18.43,1.63,38.63
2026-01-10 09:02:24,19.16,1.87,35.95
2026-01-10 09:17:24,19.23,1.98,37.16
2026-01-10 09:32:24,19.07,2.45,41.75
2026-01-10 09:47:24,18.97,1.89,36.58
2026-01-10 10:02:24,18.58,1.99,39.62
2026-01-10 10:17:24,19.16,2.47,39.51
2026-01-10 10:32:24,18.65,2.74,40.63
2026-01-10 10:47:24,19.25,2.75,45.32
2026-01-10 11:02:24,19.09,2.16,37.13
2026-01-10 11:17:24,19.1,2.77,44.25
2026-01-10 11:32:24,18.69,2.03,34.34
2026-01-10 11:47:24,19.0,2.61,43.44
2026-01-10 12:02:24,18.69,2.23,34.43
2026-01-10 12:17:24,19.38,1.68,41.89
2026-01-10 12:32:24,19.69,2.61,46.27
2026-01-10 12:47:24,19.0,2.64,39.65
2026-01-10 13:02:24,19.45,2.26,37.07
2026-01-10 13:17:24,19.07,2.72,42.71
2026-01-10 13:32:24,18.88,2.36,36.92
2026-01-10 13:47:24,18.68,1.86,37.71
2026-01-10 14:02:24,18.9,1.86,33.04
2026-01-10 14:17:24,19.1,1.81,37.9
2026-01-10 14:32:24,18.96,1.99,39.88
2026-01-10 14:47:24,18.87,1.9,32.7
2026-01-10 15:02:24,18.34,1.83,40.17
2026-01-10 15:17:24,18.3,1.45,31.05
2026-01-10 15:32:24,18.31,1.31,29.79
2026-01-10 15:47:24,18.42,1.16,36.53
2026-01-10 16:02:24,18.74,0.7,29.31
2026-01-10 16:17:24,19.04,1.14,27.63
2026-01-10 16:32:24,18.52,1.06,35.82
2026-01-10 16:47:24,18.85,0.75,36.85
2026-01-10 17:02:24,18.84,0.72,28.52
2026-01-10 17:17:24,18.87,0.54,31.09
2026-01-10 17:32:24,18.48,0.02,23.22
2026-01-10 17:47:24,18.32,0.12,22.9
2026-01-10 18:02:24,18.29,0.05,27.88
2026-01-10 18:17:24,18.15,0.09,23.0
2026-01-10 18:32:24,18.62,0.0,25.67
